captured_at,deck_id,card_entries,total_copies,updated_at
2026-08-13T08:15:14.997410+00:00,1541055250,0,0,2026-08-10T07:28:22.077+00:00
2026-08-13T08:15:14.997410+00:00,1542b39bfb,0,0,2026-08-12T12:22:02.547+00:00
2026-08-13T08:15:14.997410+00:00,160230fd47,0,0,2026-08-02T18:54:16.464+00:00
2026-08-13T08:15:14.997410+00:00,166889100c,0,0,2026-08-12T00:49:16.1+00:00
2026-08-13T08:15:14.997410+00:00,1681b39789,0,0,2026-08-11T02:21:34.878+00:00
2026-08-13T08:15:14.997410+00:00,16d35890e0,0,0,2026-08-12T22:13:34.286+00:00
2026-08-13T08:15:14.997410+00:00,1709ab1fbc,0,0,2026-08-10T02:27:52.681+00:00
2026-08-13T08:15:14.997410+00:00,1779de6ae7,0,0,2026-08-13T07:17:50.369+00:00
2026-08-13T08:15:14.997410+00:00,178581e367,0,0,2026-08-06T03:02:16.754+00:00
2026-08-13T08:15:14.997410+00:00,17e4a2b7e2,0,0,2026-08-12T16:45:14.749+00:00
2026-08-13T08:15:14.997410+00:00,18518eeb6a,0,0,2026-08-13T03:46:43.521+00:00
2026-08-13T08:15:14.997410+00:00,189e636979,0,0,2026-08-13T03:16:52.405+00:00
2026-08-13T08:15:14.997410+00:00,18e2848966,0,0,2026-08-11T08:17:51.294+00:00
2026-08-13T08:15:14.997410+00:00,193b16220e,0,0,2026-08-03T16:04:31.051+00:00
2026-08-13T08:15:14.997410+00:00,1955a06601,0,0,2026-08-05T23:35:03.264+00:00
2026-08-13T08:15:14.997410+00:00,198e40be2f,0,0,2026-08-12T05:42:12.383+00:00
2026-08-13T08:15:14.997410+00:00,199f24fa08,0,0,2026-08-11T04:11:00.853+00:00
2026-08-13T08:15:14.997410+00:00,1ab3c1e304,0,0,2026-08-13T00:17:36.74+00:00
2026-08-13T08:15:14.997410+00:00,1ac5a00b27,0,0,2026-08-12T12:03:09.27+00:00
2026-08-13T08:15:14.997410+00:00,1b06b90e8d,0,0,2026-08-06T08:32:48.727+00:00
2026-08-13T08:15:14.997410+00:00,1bd4dd8879,0,0,2026-08-11T01:29:05.399+00:00
2026-08-13T08:15:14.997410+00:00,1bee66f900,0,0,2026-08-06T07:53:24.247+00:00
2026-08-13T08:15:14.997410+00:00,1c4819b6f0,0,0,2026-08-13T07:43:01.278+00:00
2026-08-13T08:15:14.997410+00:00,1c8862dbbb,0,0,2026-08-05T05:10:13.778+00:00
2026-08-13T08:15:14.997410+00:00,1c9f6f2b21,0,0,2026-07-27T16:26:57.436+00:00
2026-08-13T08:15:14.997410+00:00,1ce69a3fe3,0,0,2026-08-08T20:44:07.324+00:00
2026-08-13T08:15:14.997410+00:00,1d4807fa65,0,0,2026-08-05T18:46:48.688+00:00
2026-08-13T08:15:14.997410+00:00,1db6340e7c,0,0,2026-08-03T04:52:31.87+00:00
2026-08-13T08:15:14.997410+00:00,1dde3828a8,0,0,2026-08-11T04:25:35.577+00:00
2026-08-13T08:15:14.997410+00:00,1df74f546a,0,0,2026-08-03T10:39:53.592+00:00
2026-08-13T08:15:14.997410+00:00,1ea3a129d6,0,0,2026-08-09T22:05:33.151+00:00
2026-08-13T08:15:14.997410+00:00,1ebd038a90,0,0,2026-08-05T14:26:02.128+00:00
2026-08-13T08:15:14.997410+00:00,1ebfcb2828,0,0,2026-08-01T15:25:23.777+00:00
2026-08-13T08:15:14.997410+00:00,1eebb7512c,0,0,2026-08-03T22:03:12.732+00:00
2026-08-13T08:15:14.997410+00:00,1f4d263192,0,0,2026-07-31T12:25:33.629+00:00
2026-08-13T08:15:14.997410+00:00,1f5844b78a,0,0,2026-08-11T03:38:27.997+00:00
2026-08-13T08:15:14.997410+00:00,1f5c90f758,0,0,2026-08-06T08:10:11.612+00:00
2026-08-13T08:15:14.997410+00:00,1f6fe5ebf0,0,0,2026-08-11T11:41:35.558+00:00
2026-08-13T08:15:14.997410+00:00,1fae1d1b91,0,0,2026-08-02T16:01:53.223+00:00
2026-08-13T08:15:14.997410+00:00,1fbaa8f507,0,0,2026-08-07T01:35:52.712+00:00
2026-08-13T08:15:14.997410+00:00,1fcd30ccd0,0,0,2026-08-05T23:17:59.105+00:00
2026-08-13T08:15:14.997410+00:00,2006bc7d9d,0,0,2026-08-11T23:45:09.962+00:00
2026-08-13T08:15:14.997410+00:00,202da79049,0,0,2026-08-05T08:49:50.525+00:00
2026-08-13T08:15:14.997410+00:00,2047b4b0e3,0,0,2026-08-13T00:05:17.525+00:00
2026-08-13T08:15:14.997410+00:00,2054926804,0,0,2026-08-06T15:52:49.356+00:00
2026-08-13T08:15:14.997410+00:00,208c70620a,0,0,2026-08-09T01:01:50.639+00:00
2026-08-13T08:15:14.997410+00:00,2145c45fe3,0,0,2026-08-08T20:44:06.315+00:00
2026-08-13T08:15:14.997410+00:00,2197be9d2d,0,0,2026-07-25T21:11:02.722+00:00
2026-08-13T08:15:14.997410+00:00,21b8036f14,0,0,2026-08-12T01:12:39.362+00:00
2026-08-13T08:15:14.997410+00:00,224cfbb872,0,0,2026-08-10T00:02:53.704+00:00
2026-08-13T08:15:14.997410+00:00,2255265502,0,0,2026-08-08T15:31:20.677+00:00
2026-08-13T08:15:14.997410+00:00,2266be4b7c,0,0,2026-08-06T03:01:08.025+00:00
